land_number,max,min,mean,std_dev,kurtosis,skew
Grid40_Lambda10.0_8,1.01,0.01,0.469196855906324,0.29779203014697286,-1.3687294801376055,0.0512340871895022
Grid40_Lambda10.0_9,1.0099999999999998,0.01,0.4842153874001855,0.25840255707849485,-1.0310347184242672,0.04031898001894496
Grid40_Lambda10.0_5,1.01,0.01,0.6036923035839732,0.24891709155820527,-0.7344661239239381,-0.5695760153109015
Grid50_Lambda4.0_8,1.01,0.01,0.5793436432092685,0.1732093713082424,-0.39339821081649173,-0.2898878194396097
Grid50_Lambda4.0_20,1.0099999999999998,0.01,0.6133333901981599,0.17644584790353585,-0.14443183053045505,-0.14017237634260474
Grid50_Lambda4.0_4,1.01,0.01,0.4605583398667272,0.18309823120342578,-0.3397488054554465,0.12468594499105212
Grid50_Lambda4.0_16,1.01,0.01,0.6192322313923502,0.1749690954627724,0.38822488783036,-0.4517483522376541
Grid50_Lambda4.0_17,1.0099999999999998,0.01,0.4878780972935467,0.18466077702260877,-0.4455207971659485,0.08049648446622915
Grid50_Lambda4.0_5,1.01,0.01,0.46000647852799764,0.19176672121931682,-0.3553306190017138,0.2224035201370839
Grid50_Lambda4.0_21,1.01,0.01,0.5312545902160886,0.175436458189463,-0.28843167838587513,0.0774317886519652
Grid50_Lambda4.0_9,1.01,0.01,0.5000915685589097,0.19563934465071334,-0.3230502111171871,0.13427570301663772
Grid50_Lambda4.0_2,1.01,0.01,0.5954640182401385,0.19365782646043417,-0.3060740109188633,-0.26640971271354585
Grid50_Lambda4.0_10,1.01,0.01,0.4681215214638087,0.17389362509678954,-0.1526365584803835,0.05565128907521612
Grid50_Lambda4.0_11,1.01,0.01,0.4950449467485726,0.2145983928848783,-0.7111758367643364,-0.10918248557641685
Grid50_Lambda4.0_3,1.01,0.01,0.43239231168917724,0.16186096638981848,0.7964305475932347,0.6221400323004264
Grid50_Lambda4.0_12,1.01,0.01,0.5255978370173033,0.18085404826677443,-0.21667078847939258,-0.11127321561933587
Grid50_Lambda4.0_0,1.01,0.01,0.5818912550715609,0.14634983239850227,0.47985351125296294,-0.051552378449243194
Grid50_Lambda4.0_24,1.01,0.01,0.5103807906848704,0.1848535637314132,-0.2016124180396366,-0.011102103142007097
Grid50_Lambda4.0_25,1.01,0.01,0.5390098046565137,0.17295447946932493,0.29376679037626063,0.16474304104906412
Grid50_Lambda4.0_1,1.01,0.01,0.47906385305625715,0.18994605653360055,-0.27293015934315035,0.028925443459095805
Grid50_Lambda4.0_13,1.01,0.01,0.5745297044872905,0.17235549483068568,-0.07563215662475686,-0.35055265507544964
Grid50_Lambda4.0_18,1.01,0.01,0.5357987144976476,0.16238771336920482,-0.0492462825868305,-0.06491068468243606
Grid50_Lambda4.0_22,1.01,0.01,0.531115735970989,0.17619711814367964,-0.17768465133179223,-0.02362465502932961
